"centre","count","location","lon","lat"
"AMOY STREET FOOD CENTRE",62,"AMOY STREET FOOD CENTRE, Singapore",103.8466398,1.2792209
"BEO CRESCENT MARKET",22,"BEO CRESCENT MARKET, Singapore",103.8275337,1.2888974
"BERSEH FOOD CENTRE",103,"BERSEH FOOD CENTRE, Singapore",103.8567733,1.3074311
"BLK 665 BUFFALO ROAD",50,"BLK 665 BUFFALO ROAD, Singapore",103.8505518,1.3061229
"BLK 1 JALAN KUKOH",3,"BLK 1 JALAN KUKOH, Singapore",103.8399942,1.2883777
"BLK 11 TELOK BLANGAH CRESCENT",23,"BLK 11 TELOK BLANGAH CRESCENT, Singapore",103.818672,1.277431
"BLK 112 JALAN BUKIT MERAH",23,"BLK 112 JALAN BUKIT MERAH, Singapore",103.8260044,1.2800033
"BLK 115 BUKIT MERAH VIEW",32,"BLK 115 BUKIT MERAH VIEW, Singapore",103.822038,1.285527
"BLK 117 ALJUNIED AVENUE 2",131,"BLK 117 ALJUNIED AVENUE 2, Singapore",103.8869921,1.3206138
"BLK 120 BUKIT MERAH LANE 1",20,"BLK 120 BUKIT MERAH LANE 1, Singapore",103.804526,1.286343
"BLK 127 TOA PAYOH LORONG 1",32,"BLK 127 TOA PAYOH LORONG 1, Singapore",103.844724,1.338084
"BLK 137 TAMPINES STREET 11",17,"BLK 137 TAMPINES STREET 11, Singapore",103.94471,1.345531
"BLK 14 HAIG ROAD",2,"BLK 14 HAIG ROAD, Singapore",103.895481,1.315383
"BLK 159 MEI CHIN ROAD",49,"BLK 159 MEI CHIN ROAD, Singapore",103.8027805,1.2932025
"BLK 16 BEDOK SOUTH ROAD",40,"BLK 16 BEDOK SOUTH ROAD, Singapore",103.9355558,1.3205476
"BLK 16 BEDOK SOUTH ROAD S(460016)",1,"BLK 16 BEDOK SOUTH ROAD S(460016), Singapore",103.9355549,1.320549
"BLK 162 ANG MO KIO AVENUE 4",1,"BLK 162 ANG MO KIO AVENUE 4, Singapore",103.838842,1.37426
"BLK 17 UPPER BOON KENG ROAD",47,"BLK 17 UPPER BOON KENG ROAD, Singapore",103.871846,1.314918
"BLK 20 GHIM MOH ROAD",24,"BLK 20 GHIM MOH ROAD, Singapore",103.7883085,1.3109708
"BLK 216 BEDOK NORTH STREET 1",24,"BLK 216 BEDOK NORTH STREET 1, Singapore",103.9331156,1.3273387
"BLK 22 TOA PAYOH LORONG 7",29,"BLK 22 TOA PAYOH LORONG 7, Singapore",103.8570169,1.3354642
"BLK 226D ANG MO KIO AVENUE 1",40,"BLK 226D ANG MO KIO AVENUE 1, Singapore",103.839176,1.366795
"BLK 226H ANG MO KIO STREET 22",2,"BLK 226H ANG MO KIO STREET 22, Singapore",103.8399972,1.3672054
"BLK 22A HAVELOCK ROAD",1,"BLK 22A HAVELOCK ROAD, Singapore",103.829634,1.288067
"BLK 22B HAVELOCK ROAD",4,"BLK 22B HAVELOCK ROAD, Singapore",103.8292837,1.2877391
"BLK 254 JURONG EAST STREET 24",6,"BLK 254 JURONG EAST STREET 24, Singapore",103.73778,1.343434
"BLK 29 BENDEMEER ROAD",27,"BLK 29 BENDEMEER ROAD, Singapore",103.8629882,1.3192407
"BLK 3 CHANGI VILLAGE ROAD",19,"BLK 3 CHANGI VILLAGE ROAD, Singapore",103.9880772,1.389646
"BLK 32 NEW MARKET ROAD",6,"BLK 32 NEW MARKET ROAD, Singapore",103.8425514,1.2850433
"BLK 320 SHUNFU ROAD",19,"BLK 320 SHUNFU ROAD, Singapore",103.8369382,1.3517782
